,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,ushuaia,75,AR,1580262621,81,6.0,-54.8,-68.3,14.9
1,lebu,0,CL,1580262773,66,11.71,-37.62,-73.65,4.75
2,mataura,96,NZ,1580262773,69,17.69,-46.19,168.86,3.88
3,nurota,0,UZ,1580262773,92,-2.0,40.56,65.69,4.1
4,albany,90,US,1580262773,92,1.0,42.6,-73.97,3.1
5,kudahuvadhoo,0,MV,1580262774,77,26.86,2.67,72.89,7.02
6,tawang,5,IN,1580262774,63,-0.37,27.58,91.87,0.79
7,kuchl,75,AT,1580262774,80,1.11,47.63,13.14,3.1
8,hobart,75,AU,1580262663,38,25.56,-42.88,147.33,7.7
9,chuy,0,UY,1580262775,85,20.35,-33.7,-53.46,5.94
10,rabo de peixe,75,PT,1580262775,88,18.0,37.8,-25.58,10.3
11,punta arenas,94,CL,1580262775,75,7.0,-53.15,-70.92,10.3
12,conde,75,BR,1580262776,83,27.0,-7.26,-34.91,3.1
13,campbellsville,90,US,1580262588,85,3.0,37.34,-85.34,1.5
14,udachnyy,0,RU,1580262776,84,-19.0,66.42,112.4,3.0
15,port alfred,60,ZA,1580262776,85,19.44,-33.59,26.89,2.68
16,paamiut,83,GL,1580262777,56,-9.59,61.99,-49.67,5.83
17,vaini,75,TO,1580262777,79,29.0,-21.2,-175.2,2.6
18,torbay,90,CA,1580262775,100,-1.11,47.67,-52.73,2.6
19,klaksvik,0,FO,1580262777,65,0.0,62.23,-6.59,1.0
20,ahipara,100,NZ,1580262778,93,27.78,-35.17,173.17,0.45
21,nikolskoye,90,RU,1580262778,92,-1.0,59.7,30.79,5.0
22,portland,90,US,1580262519,87,10.56,45.52,-122.68,4.1
23,pisco,90,PE,1580262778,78,24.0,-13.7,-76.22,4.1
24,atuona,32,PF,1580262779,79,27.17,-9.8,-139.03,6.09
25,marawi,37,PH,1580262779,83,27.78,8.0,124.29,2.24
26,jamestown,90,US,1580262719,92,0.0,42.1,-79.24,3.1
27,hermanus,89,ZA,1580262779,98,18.33,-34.42,19.23,0.45
28,vila franca do campo,75,PT,1580262779,88,18.0,37.72,-25.43,10.3
29,rikitea,100,PF,1580262780,78,26.55,-23.12,-134.97,2.78
30,isangel,75,VU,1580262780,66,29.0,-19.55,169.27,4.1
31,bluff,100,NZ,1580262780,93,13.03,-46.6,168.33,6.27
32,jibuti,90,DJ,1580262780,78,23.0,11.5,42.5,8.55
33,marathon,90,US,1580262704,67,-5.0,44.9,-89.77,1.5
34,mumford,100,GH,1580262781,92,23.77,5.26,-0.76,0.6
35,tatawin,0,TN,1580262781,57,11.0,32.93,10.45,1.0
36,sao joao dos patos,51,BR,1580262782,91,22.62,-6.5,-43.7,0.4
37,semey,75,KZ,1580262782,84,-16.0,50.41,80.23,5.0
38,qaanaaq,100,GL,1580262782,92,-25.43,77.48,-69.36,2.59
39,sweetwater,20,US,1580262782,73,22.0,25.76,-80.37,1.5
40,puerto del rosario,36,ES,1580262783,67,17.0,28.5,-13.86,3.6
41,jardim,0,BR,1580262783,91,22.27,-21.48,-56.14,2.15
42,carnarvon,45,AU,1580262783,78,26.0,-24.87,113.63,8.2
43,omboue,46,GA,1580262783,94,24.42,-1.57,9.26,0.78
44,sangar,92,RU,1580262783,83,-29.61,63.92,127.47,4.13
45,tuktoyaktuk,90,CA,1580262784,68,-29.0,69.45,-133.04,2.1
46,elk point,90,US,1580262784,100,-2.0,42.68,-96.68,3.1
47,bredasdorp,100,ZA,1580262784,88,19.0,-34.53,20.04,2.15
48,norman wells,75,CA,1580262784,74,-30.0,65.28,-126.83,2.6
49,port augusta,0,AU,1580262785,31,36.11,-32.5,137.77,4.1
50,longyearbyen,100,SJ,1580262785,77,-18.0,78.22,15.64,4.6
51,abrau-dyurso,75,RU,1580262785,93,9.0,44.69,37.59,8.0
52,coos bay,90,US,1580262785,87,11.0,43.37,-124.22,7.7
53,mahibadhoo,0,MV,1580262786,73,27.07,3.78,72.97,5.65
54,port elizabeth,75,ZA,1580262603,77,20.0,-33.92,25.57,5.1
55,barrow,1,US,1580262786,74,-33.0,71.29,-156.79,2.1
56,venado tuerto,0,AR,1580262786,57,23.33,-33.75,-61.97,1.79
57,cardston,40,CA,1580262786,59,3.0,49.2,-113.3,7.2
58,mogadouro,99,PT,1580262787,97,7.6,41.34,-6.71,3.37
59,tiksi,99,RU,1580262788,87,-26.6,71.69,128.87,2.91
60,damghan,0,IR,1580262788,59,-0.98,36.17,54.35,0.53
61,buraydah,100,SA,1580262788,37,10.0,26.33,43.98,2.6
62,salalah,0,OM,1580262684,23,18.0,17.02,54.09,6.2
63,ortigueira,11,BR,1580262788,74,19.41,-24.21,-50.95,0.54
64,avarua,84,CK,1580262789,88,26.0,-21.21,-159.78,3.1
65,elizabethtown,90,US,1580262789,90,3.0,37.69,-85.86,1.47
66,stornoway,82,GB,1580262789,93,4.44,58.21,-6.39,8.7
67,gornopravdinsk,32,RU,1580262789,98,-29.51,60.05,69.9,2.46
68,tilichiki,100,RU,1580262789,95,-7.84,60.47,166.1,1.82
69,kota bahru,20,MY,1580262790,83,28.0,6.13,102.24,1.5
70,coruripe,0,BR,1580262713,75,26.38,-10.13,-36.18,4.67
